no,name,address,openingDay,status
1,정 동물병원,"대전광역시 서구 괴정로 114, 1층 101호 (괴정동)",1989-03-30,운영중
2,월평동물병원,"대전광역시 서구 한밭대로707번길 13, 샛별상가 103호 (월평동)",1996-01-04,운영중
3,안호영동물병원,대전광역시 서구 계룡로 358 (갈마동),1996-01-25,운영중
4,참동물병원,대전광역시 서구 도산로 82 (도마동),1996-03-18,운영중
5,엄마손동물병원,"대전광역시 서구 계백로 1426, 104호 (도마동, 도마동써머스빌주상복합)",1996-11-21,운영중
6,케나인동물병원,대전광역시 서구 둔산남로 200 (탄방동),1998-11-26,운영중
7,도안동물병원,대전광역시 서구 관저중로95번길 99 (관저동),2000-05-09,운영중
8,드림동물병원,대전광역시 서구 문정로 102 (탄방동),2000-05-09,운영중
9,J.H 동물병원,"대전광역시 서구 신갈마로 266, 101호 (갈마동)",2003-03-20,운영중
10,스마트동물병원,대전광역시 서구 문정로 208 (둔산동),2004-04-14,운영중
11,한민동물병원,대전광역시 서구 갈마로 274 (내동),2005-06-01,운영중
12,둔산동물병원,대전광역시 서구 대덕대로 145 (갈마동),2005-06-08,운영중
13,마크로24시 동물병원,대전광역시 서구 한밭대로570번길 8 (월평동),2005-08-29,운영중
14,대전종합 동물병원,"대전광역시 서구 대덕대로168번길 26, 동원빌딩 (갈마동)",2006-04-12,운영중
15,쌤아저씨,대전광역시 서구 대덕대로 4 (내동),2006-11-22,운영중
16,연이동물병원,대전광역시 서구 정림로 66 (정림동),2011-01-03,운영중
17,리브동물병원,대전광역시 서구 관저남로25번길 23-30(관저동),2011-05-25,운영중
18,쿨펫동물병원탄방점,"대전광역시 서구 문정로 77, 로데오 타운 1층 152~154호 (탄방동)",2011-07-01,운영중
19,퍼피동물병원,대전광역시 서구 갈마로 234(내동),2011-07-15,운영중
20,수정동물병원,"대전광역시 서구 도안북로117번길 33, 102호 (도안동)",2014-04-09,운영중
21,도드람양돈협동조합동물병원,"대전광역시 서구 구봉산북로 12, 2층 (관저동)",2014-04-16,운영중
22,리본 동물병원,"대전광역시 서구 계룡로 383, 1층 (갈마동)",2015-01-07,운영중
23,와이즈동물병원,대전광역시 서구 원도안로 28 (가수원동),2015-06-23,운영중
24,웰케어동물병원,대전광역시 서구 관저북로13번길 23-12 (관저동),2015-08-28,운영중
25,관저종합동물병원,대전광역시 서구 구봉로 133 (관저동),2016-05-17,운영중
26,만년YES동물병원,대전광역시 서구 만년로 14 (만년동),2016-06-30,운영중
27,닥터코기동물병원,"대전광역시 서구 둔산남로 94, 로고스빌딩 1층 (탄방동)",2016-10-12,운영중
28,정담 동물병원,"대전광역시 서구 신갈마로 260, 1층 (갈마동)",2017-06-15,운영중
29,24아프리카동물메디컬센터,"대전광역시 서구 문정로 16, 2,3층 (탄방동)",2018-06-04,운영중
30,타임동물메디컬센터,"대전광역시 서구 둔산로 57, 1~3층 (둔산동)",2019-04-19,운영중
31,대전본동물병원,"대전광역시 서구 관저로 27, 101-1호 (관저동)",2020-02-10,운영중
32,대전충청 영상안과 동물병원,"대전광역시 서구 둔산로 57, 4층 (둔산동)",2020-06-26,운영중
33,나아라 동물병원,"대전광역시 서구 원도안로 255, 1층 (도안동)",2021-07-27,운영중
34,24시도안동물메디컬센터,"대전광역시 서구 계백로 1159, 1층 (도안동)",2021-12-16,운영중
35,청사동물메디컬센타,"대전광역시 서구 한밭대로 701, 107, 108호 (월평동, 갤러리빌 럭스)",2022-09-14,운영중
36,동물병원 비헤이브,"대전광역시 서구 계룡로 639, 에이스침대 대전사옥 1층 6호 (탄방동)",2024-05-23,운영중
